,employment_level_in_thousands,Date,unemployment_level_in_thousands,us_spend_in_millions,mining_income_in_millions,hha_net_worth_in_millions,hha_net_worth/dpi,hha_total_assets_in_millions,hha_total_assets/dpi,downturn
107,63619,1956-12-01,2660,74616.66666666667,7651.333333333333,1719260.3333333333,533.1266666666667,1879634.3333333333,582.8566666666667,0
108,61974,1957-01-01,3206,75585.0,7642.0,1723565.0,532.31,1884326.0,581.96,0
109,62512,1957-02-01,3085,75758.66666666667,7669.333333333333,1735978.0,533.7366666666667,1898428.0,583.6833333333334,0
110,63134,1957-03-01,2822,75932.33333333333,7696.666666666667,1748391.0,535.1633333333333,1912530.0,585.4066666666666,0
111,63512,1957-04-01,2627,76106.0,7724.0,1760804.0,536.59,1926632.0,587.13,0
112,64213,1957-05-01,2635,76339.33333333333,7714.333333333333,1760282.3333333333,534.1,1927158.0,584.7333333333333,0
113,65127,1957-06-01,3131,76572.66666666667,7704.666666666667,1759760.6666666667,531.61,1927684.0,582.3366666666667,0
114,65726,1957-07-01,2843,76806.0,7695.0,1759239.0,529.12,1928210.0,579.94,0
115,65009,1957-08-01,2526,77616.0,7573.333333333333,1764826.6666666667,531.0733333333334,1934832.6666666667,582.2333333333333,1
116,64769,1957-09-01,2503,78426.0,7451.666666666667,1770414.3333333333,533.0266666666666,1941455.3333333333,584.5266666666668,1
117,65112,1957-10-01,2465,79236.0,7330.0,1776002.0,534.98,1948078.0,586.82,1
118,64129,1957-11-01,3127,79016.0,7224.333333333333,1787136.3333333333,537.72,1958924.3333333333,589.4100000000001,1
119,63598,1957-12-01,3332,78796.0,7118.666666666667,1798270.6666666667,540.46,1969770.6666666667,592.0,1
120,61508,1958-01-01,4464,78576.0,7013.0,1809405.0,543.2,1980617.0,594.59,1
121,61265,1958-02-01,5116,79598.0,6892.0,1818477.3333333333,544.3233333333334,1990879.6666666667,595.9200000000001,1
122,61567,1958-03-01,5155,80620.0,6771.0,1827549.6666666667,545.4466666666667,2001142.3333333333,597.25,1
123,62116,1958-04-01,5064,81642.0,6650.0,1836622.0,546.57,2011405.0,598.58,1
124,63098,1958-05-01,4832,81817.33333333333,6707.0,1854672.6666666667,547.77,2030647.6666666667,599.7433333333333,0
125,63652,1958-06-01,5223,81992.66666666667,6764.0,1872723.3333333333,548.97,2049890.3333333333,600.9066666666668,0
126,63810,1958-07-01,5098,82168.0,6821.0,1890774.0,550.17,2069133.0,602.07,0
127,64018,1958-08-01,4607,82670.66666666667,6851.333333333333,1900875.3333333333,550.3633333333333,2081164.3333333333,602.5600000000001,0
128,63766,1958-09-01,4058,83173.33333333333,6881.666666666667,1910976.6666666667,550.5566666666666,2093195.6666666667,603.05,0
129,64480,1958-10-01,3750,83676.0,6912.0,1921078.0,550.75,2105227.0,603.54,0
130,63890,1958-11-01,3785,82776.66666666667,6879.333333333333,1927848.6666666667,550.3733333333333,2112829.3333333335,603.18,0
131,63266,1958-12-01,4068,81877.33333333333,6846.666666666667,1934619.3333333333,549.9966666666667,2120431.6666666665,602.82,0
132,62052,1959-01-01,4678,80978.0,6814.0,1941390.0,549.62,2128034.0,602.46,0
133,62015,1959-02-01,4698,81444.33333333333,6822.333333333333,1950645.6666666667,548.5533333333333,2139634.6666666665,601.6933333333334,0
134,63091,1959-03-01,4298,81910.66666666667,6830.666666666667,1959901.3333333333,547.4866666666667,2151235.3333333335,600.9266666666666,0
135,64241,1959-04-01,3558,82377.0,6839.0,1969157.0,546.42,2162836.0,600.16,0
136,65036,1959-05-01,3327,82702.66666666667,6686.0,1973564.0,546.7866666666666,2169314.6666666665,601.0166666666667,0
137,65924,1959-06-01,3780,83028.33333333333,6533.0,1977971.0,547.1533333333333,2175793.3333333335,601.8733333333333,0
138,66193,1959-07-01,3605,83354.0,6380.0,1982378.0,547.52,2182272.0,602.73,0
139,65897,1959-08-01,3347,83459.0,6409.666666666667,1993612.6666666667,548.31,2195776.0,603.91,0
140,65414,1959-09-01,3195,83564.0,6439.333333333333,2004847.3333333333,549.1,2209280.0,605.09,0
141,65891,1959-10-01,3231,83669.0,6469.0,2016082.0,549.89,2222784.0,606.27,0
142,64877,1959-11-01,3636,83062.66666666667,6535.333333333333,2018864.0,548.3066666666666,2225874.0,604.53,0
143,64927,1959-12-01,3521,82456.33333333333,6601.666666666667,2021646.0,546.7233333333334,2228964.0,602.79,0
144,63375,1960-01-01,4119,81850.0,6668.0,2024428.0,545.14,2232054.0,601.05,0
